"season_1","season_2","team_id","team_name","player_id","player_name","game_id","game_date","home_team","away_team","quarter","mins_left","secs_left","secs_left_q","event_type","shot_made","action_type","shot_type","basic_zone","zone_name","zone_abb","zone_range","loc_x","loc_y","shot_distance","is_three","shot_value","is_clutch"
2008,"2007-08","1610612737","Atlanta Hawks","2735","Josh Childress","20700307","2007-12-11","ATL","TOR",1,3,16,79,"Made Shot",True,"Reverse Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",0,2,0
2008,"2007-08","1610612761","Toronto Raptors","200081","Jamario Moon","20700307","2007-12-11","ATL","TOR",1,3,32,95,"Made Shot",True,"Dunk Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",0,2,0
2008,"2007-08","1610612759","San Antonio Spurs","2588","Matt Bonner","20700313","2007-12-11","GSW","SAS",1,2,21,83,"Missed Shot",False,"Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side","L","8-16 ft.","5.9","13.95","10",0,2,0
2008,"2007-08","1610612765","Detroit Pistons","101131","Jason Maxiell","20700310","2007-12-11","MEM","DET",1,2,5,67,"Made Shot",True,"Slam Dunk Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",0,2,0
2008,"2007-08","1610612739","Cleveland Cavaliers","2400","Drew Gooden","20700308","2007-12-11","CLE","IND",1,3,44,107,"Missed Shot",False,"Jump Shot","2PT Field Goal","Mid-Range","Right Side","R","8-16 ft.","-13.6","8.75","14",0,2,0
2008,"2007-08","1610612737","Atlanta Hawks","101107","Marvin Williams","20700307","2007-12-11","ATL","TOR",1,3,55,118,"Made Shot",True,"Jump Shot","2PT Field Goal","Mid-Range","Center","C","16-24 ft.","2.1","23.65","18",0,2,0
2008,"2007-08","1610612764","Washington Wizards","2406","Caron Butler","20700306","2007-12-11","WAS","MIN",1,1,36,97,"Made Shot",True,"Jump Shot","2PT Field Goal","Mid-Range","Right Side","R","16-24 ft.","-16.6","12.05","17",0,2,0
2008,"2007-08","1610612757","Portland Trail Blazers","2566","Travis Outlaw","20700312","2007-12-11","UTA","POR",1,2,34,96,"Missed Shot",False,"Jump Shot","2PT Field Goal","Mid-Range","Right Side Center","RC","16-24 ft.","-6.2","23.35","19",0,2,0
2008,"2007-08","1610612762","Utah Jazz","2078","Jason Hart","20700312","2007-12-11","UTA","POR",1,2,52,114,"Made Shot",True,"Jump Shot","2PT Field Goal","Mid-Range","Left Side Center","LC","16-24 ft.","16.9","19.75","22",0,2,0
2008,"2007-08","1610612763","Memphis Grizzlies","2545","Darko Milicic","20700310","2007-12-11","MEM","DET",1,2,15,77,"Missed Shot",False,"Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center","C","Less Than 8 ft.","4.9","7.25","5",0,2,0
